step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
373,36893,373,0.8404117930795753,0.0,0.7652582159624414,,,
374,36982,374,0.8446395039516541,0.0,0.7101449275362319,,,
375,37119,375,0.9570861798054423,0.0,0.6583333333333333,,,
376,37232,376,1.131732532937119,0.0,0.71,,,
377,37313,377,1.1163765938727666,0.0,0.6571428571428571,1.5568626310135278,0.0,0.37037037037037035
378,37362,378,0.7085296419306861,0.0,0.6896551724137931,,,
379,37403,379,0.4345093960867817,0.0,0.7894736842105263,,,
380,37484,380,0.9309515418616994,0.0,0.6333333333333333,,,
381,37565,381,1.0046858927379752,0.0,0.7230769230769231,,,
382,37686,382,1.0340335177720696,0.0,0.6972477064220184,,,
383,37799,383,0.9512701723819552,0.0,0.7575757575757576,,,
384,37920,384,1.0551484203124732,0.0,0.7079646017699115,,,
385,38113,385,1.2670009083818363,0.0,0.556390977443609,2.998281511055399,0.0,0.3684210526315789
386,38186,386,1.0356394277995744,0.0,0.5737704918032787,,,
387,38339,387,1.4710186497657325,0.0,0.6506849315068494,,,
388,38428,388,0.9193443571427125,0.0,0.6714285714285714,,,
389,38501,389,0.39422166862107455,0.0,0.8909090909090909,,,
390,38534,390,0.15674060868797823,0.0,0.8666666666666667,,,
391,38559,391,0.21684209055926962,0.0,0.7272727272727273,,,
392,38616,392,0.21892455152648083,0.0,0.9736842105263158,,,
393,38737,393,1.161464705636321,0.0,0.6880733944954128,2.1396349742338394,0.0,0.4523809523809524
394,38810,394,0.8758073758227585,0.0,0.7,,,
395,38867,395,0.6477813375489703,0.0,0.7727272727272727,,,
396,38956,396,0.7605565750846555,0.0,0.7,,,
397,39085,397,1.0134340691241073,0.0,0.7457627118644068,,,
398,39158,398,0.5603427238879298,0.0,0.8103448275862069,,,
399,39231,399,1.228205887807855,0.0,0.6290322580645161,,,
400,39336,400,1.0004941658817301,0.0,0.6483516483516484,,,
401,39497,401,0.7992203114312671,0.0,0.8013245033112583,2.628404545020312,0.0,0.3333333333333333
402,39610,402,0.9275932163774532,0.0,0.6790123456790124,,,
403,39707,403,1.0911873026089467,0.0,0.6470588235294118,,,
404,39780,404,1.061794936871211,0.0,0.671875,,,
405,39877,405,0.9195590089569411,0.0,0.759493670886076,,,
406,39950,406,1.1224804563240873,0.0,0.6551724137931034,,,
